cu_name,address1,city,state,zipcode,new_name,cu_name
ORION FEDERAL CREDIT UNION,7845 Hwy 64,Memphis,Tennessee,38133,,OSWEGO COUNTY FEDERAL CREDIT UNION
OSWEGO COUNTY FEDERAL CREDIT UNION,90 East Bridge Street,Oswego,New York,13126,,OZARK FEDERAL CREDIT UNION
OZARK FEDERAL CREDIT UNION,2438 Katy Lane,Poplar Bluff,Missouri,63901,,PACIFIC CREST FEDERAL CREDIT UNION
PACIFIC CREST FEDERAL CREDIT UNION,2972 Washburn Way,Klamath Falls,Oregon,97603,,PANHANDLE EDUCATORS FEDERAL CREDIT UNION
PANHANDLE EDUCATORS FEDERAL CREDIT UNION,2718 Highway 77,Panama City,Florida,32405,,PARK MANOR CHRISTIAN CHURCH CREDIT UNION
PARK MANOR CHRISTIAN CHURCH CREDIT UNION,600 East 73rd Street,Chicago,Illinois,60619,,PATTERSON FEDERAL CREDIT UNION
PATTERSON FEDERAL CREDIT UNION,124 WP Malone Dr,Arkadelphia,Arkansas,71923,,PEACH STATE FEDERAL CREDIT UNION
PEACH STATE FEDERAL CREDIT UNION,1505 Lakes Parkway  Suite 100,Lawrenceville,Georgia,30043,,PELICAN STATE CREDIT UNION
PELICAN STATE CREDIT UNION,3232 South Sherwood Forest Blvd,Baton Rouge,Louisiana,70816,,PENINSULA COMMUNITY FEDERAL CREDIT UNION
PENINSULA COMMUNITY FEDERAL CREDIT UNION,521 W Railroad Avenue,Shelton,Washington,98584,,PHENIX PRIDE FEDERAL CREDIT UNION
